                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 0.8645,                0.50104,                 1.0122,                0.99875,                0.99929,                  0.995,                0.84511,                0.71652,                0.35121,                0.92563,              0.0088912,              0.0088912,              0.0088912
                     59,                0.85926,                0.50463,                  1.012,                0.99441,                0.99705,                0.99459,                0.83959,                0.73023,                0.36029,                0.92333,              0.0088714,              0.0088714,              0.0088714
                     60,                0.86605,                0.50231,                 1.0146,                0.99449,                0.99763,                0.99496,                0.84461,                 0.7207,                0.36169,                0.92848,              0.0088516,              0.0088516,              0.0088516
                     61,                0.85558,                0.49796,                 1.0123,                0.99381,                0.99753,                0.99356,                0.83746,                0.73272,                0.36234,                0.93728,              0.0088318,              0.0088318,              0.0088318
                     62,                0.85159,                0.49992,                 1.0091,                0.99255,                0.99926,                0.99405,                0.84386,                0.72066,                0.36033,                0.92471,               0.008812,               0.008812,               0.008812
                     63,                0.85449,                0.49191,                 1.0118,                0.99838,                      1,                  0.995,                0.84627,                0.69682,                0.34817,                0.92116,              0.0087922,              0.0087922,              0.0087922
                     64,                0.86769,                0.50365,                 1.0128,                0.99526,                0.99631,                0.99476,                0.85227,                0.69322,                0.34812,                0.91276,              0.0087724,              0.0087724,              0.0087724
                     65,                0.84178,                0.49565,                 1.0058,                 0.9949,                      1,                0.99492,                0.84874,                  0.696,                0.34461,                0.92138,              0.0087526,              0.0087526,              0.0087526
                     66,                0.84073,                0.48287,                 1.0043,                0.99719,                0.99626,                0.99487,                 0.8522,                0.68942,                0.33954,                0.91677,              0.0087328,              0.0087328,              0.0087328
                     67,                0.83721,                0.48514,                 1.0068,                0.99516,                      1,                0.99494,                0.85768,                0.68107,                0.34238,                0.91136,               0.008713,               0.008713,               0.008713
                     68,                0.84317,                 0.4918,                  1.004,                0.99802,                0.99907,                  0.995,                0.85304,                0.69407,                0.34028,                0.92299,              0.0086932,              0.0086932,              0.0086932
                     69,                0.85934,                0.49218,                  1.018,                0.99489,                0.99926,                0.99494,                0.85906,                0.67767,                0.33783,                0.91272,              0.0086734,              0.0086734,              0.0086734
                     70,                0.83063,                0.48523,                0.99554,                0.99346,                      1,                0.99424,                0.86804,                0.66307,                0.33303,                0.90678,              0.0086536,              0.0086536,              0.0086536
                     71,                0.83187,                0.48671,                 1.0011,                0.99848,                0.99653,                  0.995,                0.85993,                0.68284,                0.33538,                0.91371,              0.0086338,              0.0086338,              0.0086338
                     72,                0.81508,                0.47744,                0.99759,                0.99661,                 0.9991,                0.99433,                0.86572,                0.67119,                0.33283,                0.91198,               0.008614,               0.008614,               0.008614
                     73,                0.81996,                0.48003,                0.99626,                0.99829,                      1,                0.99499,                0.85696,                0.65949,                0.32444,                0.90832,              0.0085942,              0.0085942,              0.0085942
                     74,                0.82254,                 0.4728,                0.99705,                0.99373,                0.99778,                0.99477,                0.85927,                0.68966,                0.33629,                0.91222,              0.0085744,              0.0085744,              0.0085744
                     75,                0.82366,                0.48092,                  1.001,                 0.9972,                0.99778,                0.99447,                0.86979,                0.65753,                0.33137,                0.90401,              0.0085546,              0.0085546,              0.0085546
                     76,                0.82079,                 0.4694,                0.99088,                0.99582,                0.99631,                0.99493,                0.86912,                0.66518,                0.32314,                0.90334,              0.0085348,              0.0085348,              0.0085348
                     77,                0.81762,                0.47077,                0.98979,                0.99755,                0.99756,                  0.995,                0.86914,                0.66874,                0.32902,                 0.9023,               0.008515,               0.008515,               0.008515
                     78,                0.82041,                 0.4746,                0.99119,                0.99746,                0.99854,                0.99497,                0.86697,                0.67122,                0.32615,                0.90666,              0.0084952,              0.0084952,              0.0084952
                     79,                0.80844,                0.46677,                0.99101,                0.99576,                0.99705,                0.99494,                0.87094,                0.65278,                0.32233,                0.90578,              0.0084754,              0.0084754,              0.0084754
                     80,                0.81242,                0.46871,                0.98814,                0.99452,                      1,                0.99392,                0.86913,                0.66896,                0.32552,                0.90486,              0.0084556,              0.0084556,              0.0084556
                     81,                0.81469,                0.46622,                0.99368,                0.99401,                0.99778,                0.99463,                0.86897,                0.66994,                 0.3231,                0.90286,              0.0084358,              0.0084358,              0.0084358
                     82,                 0.8115,                0.46339,                0.99401,                0.99439,                0.99918,                0.99458,                 0.8754,                0.65227,                0.31746,                0.89731,               0.008416,               0.008416,               0.008416
                     83,                0.80574,                0.45832,                0.98822,                  0.996,                0.99841,                 0.9948,                0.86942,                0.66302,                 0.3149,                0.90051,              0.0083962,              0.0083962,              0.0083962
                     84,                0.80792,                0.45684,                0.99031,                0.99674,                      1,                0.99445,                0.86846,                 0.6485,                0.31741,                0.89613,              0.0083764,              0.0083764,              0.0083764
                     85,                0.81214,                0.46178,                 0.9916,                0.99619,                0.99926,                  0.995,                 0.8739,                0.65856,                0.31261,                0.90295,              0.0083566,              0.0083566,              0.0083566
                     86,                0.78688,                0.44694,                0.97831,                0.99851,                      1,                0.99496,                0.87896,                0.64048,                0.30436,                0.89215,              0.0083368,              0.0083368,              0.0083368
                     87,                0.79832,                0.45881,                0.98793,                0.99712,                0.99926,                0.99464,                0.86968,                0.64818,                0.31099,                0.90098,               0.008317,               0.008317,               0.008317
                     88,                0.79414,                 0.4545,                0.98543,                0.99571,                0.99926,                0.99474,                0.86621,                0.65158,                0.31443,                0.90144,              0.0082972,              0.0082972,              0.0082972
                     89,                0.79117,                0.47289,                0.98962,                0.99763,                0.99926,                  0.995,                0.87706,                0.64268,                0.30941,                0.89687,              0.0082774,              0.0082774,              0.0082774
                     90,                 0.7835,                0.45514,                0.98209,                 0.9959,                0.99852,                 0.9947,                0.87833,                0.63911,                0.30511,                0.89291,              0.0082576,              0.0082576,              0.0082576
                     91,                0.80399,                0.45109,                0.99788,                0.99418,                0.99995,                0.99463,                0.87049,                0.64062,                0.31494,                0.89356,              0.0082378,              0.0082378,              0.0082378
                     92,                0.79266,                0.45334,                0.99069,                0.99584,                0.99926,                0.99491,                0.87773,                 0.6324,                0.30567,                0.89425,               0.008218,               0.008218,               0.008218
                     93,                0.78929,                0.45419,                0.98547,                0.99893,                0.99778,                0.99492,                0.88467,                0.62597,                0.29871,                0.88714,              0.0081982,              0.0081982,              0.0081982
                     94,                0.78132,                 0.4651,                  0.982,                 0.9983,                0.99926,                0.99499,                0.87576,                0.63894,                0.30107,                0.89694,              0.0081784,              0.0081784,              0.0081784
                     95,                0.78563,                0.44876,                0.98062,                0.99678,                 0.9992,                0.99468,                0.87518,                0.63741,                0.30432,                0.89794,              0.0081586,              0.0081586,              0.0081586
                     96,                0.77105,                0.43909,                0.97187,                 0.9987,                      1,                0.99499,                0.87821,                0.62488,                0.29536,                   0.89,              0.0081388,              0.0081388,              0.0081388
                     97,                0.77933,                0.44482,                0.97926,                 0.9969,                      1,                0.99493,                0.87989,                0.62983,                0.30307,                0.89527,               0.008119,               0.008119,               0.008119
                     98,                 0.7811,                0.45183,                0.98498,                0.99795,                      1,                0.99499,                0.88319,                0.62728,                0.29989,                0.89119,              0.0080992,              0.0080992,              0.0080992
                     99,                0.76769,                0.43717,                0.97307,                0.99755,                0.99923,                0.99496,                 0.8797,                0.62456,                 0.2962,                0.89492,              0.0080794,              0.0080794,              0.0080794
                    100,                0.78643,                0.44582,                0.98559,                 0.9968,                0.99895,                0.99472,                0.88734,                0.61551,                 0.2914,                0.88883,              0.0080596,              0.0080596,              0.0080596
                    101,                  0.779,                0.44834,                0.97698,                0.99768,                      1,                0.99499,                0.88529,                0.61447,                0.29608,                0.88854,              0.0080398,              0.0080398,              0.0080398
                    102,                0.76128,                0.43327,                0.97083,                0.99808,                      1,                0.99487,                 0.8874,                0.61723,                0.29121,                0.89319,                0.00802,                0.00802,                0.00802
                    103,                0.76966,                0.43921,                0.97382,                0.99591,                 0.9998,                0.99485,                0.88975,                0.60889,                0.28737,                0.88303,              0.0080002,              0.0080002,              0.0080002
                    104,                0.76915,                0.43462,                0.96924,                0.99872,                0.99926,                  0.995,                0.88643,                0.61356,                0.28824,                0.88826,              0.0079804,              0.0079804,              0.0079804
                    105,                0.75844,                0.43192,                0.97138,                 0.9954,                      1,                0.99469,                0.88679,                0.61209,                0.29115,                 0.8828,              0.0079606,              0.0079606,              0.0079606
                    106,                0.76084,                0.42965,                0.97316,                0.99803,                      1,                0.99499,                0.88929,                 0.6021,                0.28694,                0.87911,              0.0079408,              0.0079408,              0.0079408
                    107,                0.75052,                 0.4283,                 0.9675,                0.99777,                0.99926,                0.99499,                0.89135,                0.60132,                0.28488,                0.87962,               0.007921,               0.007921,               0.007921
                    108,                0.76278,                0.43525,                0.96927,                0.99867,                      1,                  0.995,                0.88978,                0.59765,                 0.2815,                0.87839,              0.0079012,              0.0079012,              0.0079012
                    109,                 0.7528,                0.42745,                0.96382,                0.99812,                0.99992,                0.99493,                0.89419,                0.59871,                0.28469,                 0.8787,              0.0078814,              0.0078814,              0.0078814
                    110,                0.75822,                0.43007,                0.96741,                0.99887,                      1,                  0.995,                0.89411,                 0.5847,                0.28062,                0.87346,              0.0078616,              0.0078616,              0.0078616
                    111,                0.75021,                0.42589,                0.96354,                 0.9983,                      1,                  0.995,                 0.8955,                0.59479,                0.28236,                0.87574,              0.0078418,              0.0078418,              0.0078418
                    112,                0.77198,                0.44621,                0.98281,                0.99581,                 0.9999,                0.99497,                0.89841,                0.59006,                 0.2839,                0.87678,               0.007822,               0.007822,               0.007822
                    113,                0.75119,                0.42942,                0.96402,                0.99756,                0.99981,                0.99498,                0.89221,                0.59968,                0.28253,                0.88332,              0.0078022,              0.0078022,              0.0078022
                    114,                0.74642,                 0.4205,                0.96442,                0.99838,                0.99929,                0.99499,                0.89639,                0.59731,                0.28166,                0.88353,              0.0077824,              0.0077824,              0.0077824
                    115,                  0.744,                0.42958,                0.96183,                0.99871,                      1,                  0.995,                0.89533,                0.58874,                 0.2792,                0.87963,              0.0077626,              0.0077626,              0.0077626
                    116,                 0.7328,                0.42052,                0.96005,                0.99821,                0.99976,                 0.9949,                0.89822,                0.58634,                 0.2794,                0.87709,              0.0077428,              0.0077428,              0.0077428
                    117,                0.75661,                0.43006,                0.96863,                0.99889,                      1,                0.99491,                0.89826,                0.58191,                0.27744,                0.87394,               0.007723,               0.007723,               0.007723
                    118,                 0.7428,                0.42448,                0.96338,                0.99718,                      1,                0.99492,                0.90163,                0.57693,                0.27674,                0.87275,              0.0077032,              0.0077032,              0.0077032
                    119,                 0.7363,                0.42159,                0.96523,                0.99787,                      1,                0.99499,                0.90372,                0.57321,                0.26943,                0.87379,              0.0076834,              0.0076834,              0.0076834
                    120,                0.73649,                0.41056,                0.96322,                0.99895,                      1,                  0.995,                0.90511,                0.57153,                0.27213,                0.87105,              0.0076636,              0.0076636,              0.0076636
                    121,                0.73502,                0.41719,                0.96508,                0.99875,                      1,                  0.995,                0.90605,                0.56948,                0.26951,                  0.871,              0.0076438,              0.0076438,              0.0076438
                    122,                0.74113,                0.41564,                0.96652,                0.99759,                0.99926,                0.99498,                0.90407,                0.56565,                0.26825,                0.86607,               0.007624,               0.007624,               0.007624
                    123,                0.74059,                0.41941,                0.96289,                0.99717,                      1,                0.99481,                0.90733,                0.56794,                0.26841,                0.86928,              0.0076042,              0.0076042,              0.0076042
                    124,                0.73535,                0.41323,                0.95875,                0.99823,                      1,                  0.995,                0.90514,                0.56954,                0.26887,                0.86755,              0.0075844,              0.0075844,              0.0075844
                    125,                0.74094,                0.41975,                0.96571,                0.99908,                      1,                  0.995,                 0.9043,                0.56984,                0.26603,                0.86881,              0.0075646,              0.0075646,              0.0075646
                    126,                0.72907,                0.41522,                0.95784,                0.99864,                      1,                  0.995,                0.90081,                0.57596,                0.26978,                0.86738,              0.0075448,              0.0075448,              0.0075448
                    127,                0.72946,                0.41361,                0.96599,                0.99852,                      1,                0.99499,                0.90347,                 0.5785,                0.26956,                 0.8698,               0.007525,               0.007525,               0.007525
                    128,                0.74089,                0.41719,                0.97309,                0.99796,                      1,                  0.995,                0.90357,                0.58063,                0.27284,                0.87337,              0.0075052,              0.0075052,              0.0075052
                    129,                  0.745,                0.42503,                0.97096,                0.99797,                      1,                  0.995,                0.90288,                0.57417,                0.27124,                0.87043,              0.0074854,              0.0074854,              0.0074854
                    130,                0.71773,                0.42031,                0.94886,                0.99771,                      1,                0.99496,                0.90434,                0.57362,                 0.2729,                0.86964,              0.0074656,              0.0074656,              0.0074656
                    131,                0.73383,                0.41645,                0.96101,                0.99748,                0.99991,                 0.9949,                0.90369,                0.56197,                0.26569,                 0.8663,              0.0074458,              0.0074458,              0.0074458
                    132,                0.71902,                0.40885,                0.95101,                 0.9973,                      1,                0.99494,                0.90535,                0.55989,                0.26594,                 0.8641,               0.007426,               0.007426,               0.007426
                    133,                0.72486,                0.43066,                0.96143,                0.99759,                      1,                0.99499,                0.90544,                0.55949,                0.26677,                 0.8654,              0.0074062,              0.0074062,              0.0074062
